任务购买,花费(万),等级,名称,目标,地区,地区英文,坐标X,坐标Y
鬼门安全区,10,6R,Veteran Challenge Bounty: Nehruan Samor,Nehruan Samor,鬼上,Plain of Ashes,101880,52220
鬼门安全区,10,6R,Veteran Challenge Bounty: Lady Navrezim,Lady Navrezim,鬼上,Plain of Ashes,103620,54900
鬼门安全区,10,6R,Veteran Challenge Bounty: Lord Zerranoc,Lord Zerranoc,鬼上,Plain of Ashes,102100,54100
鬼门安全区,30,7R,Veteran Challenge Bounty: Obsidian Colossus,Obsidian Colossus,鬼上,Plain of Ashes,104000,53900
鬼门安全区,10,6R,Veteran Challenge Bounty: Paragon Arlior,Paragon Arlior,鬼下,Bone Marches,108133,45862
鬼门安全区,10,6R,Veteran Challenge Bounty: Zharathak Almriniand,Zharathak Almriniand,鬼下,Bone Marches,108477,46452
鬼门安全区,10,6R,Veteran Challenge Bounty: Lord Vladisar,Lord Vladisar,鬼下,Bone Marches,108160,47800
鬼门安全区,30,7R,Veteran Challenge Bounty: Gravelord Thaniloth,Gravelord Thaniloth,鬼下,Bone Marches,106480,48600
ROC上安全区,10,6R,Veteran Challenge Bounty: Chief Zahak,Chief Zahak,ROC上,Pandemonium,105950,27200
ROC上安全区,10,6R,Veteran Challenge Bounty: Chieftain Arkath,Chieftain Arkath,ROC上,Pandemonium,108100,28700
ROC上安全区,10,6R,Veteran Challenge Bounty: Dark Father Jalgon,Dark Father Jalgon,ROC上,Pandemonium,108060,27300
ROC上安全区,10,6R,Veteran Challenge Bounty: Deurithon the Sealed,Deurithon the Sealed,ROC上,Pandemonium,105550,29100
ROC上安全区,10,6R,Veteran Challenge Bounty: Ogdraal-Thiatluu,Ogdraal-Thiatluu,ROC上,Pandemonium,108280,29500
ROC上安全区,30,7R,Veteran Challenge Bounty: Commander Esten,Commander Esten,ROC上,Pandemonium,0,0
ROC下安全区,5,5R,Veteran Challenge Bounty: Cindermaw,Cindermaw,ROC下,Southern Battleground,102180,22600
ROC下安全区,5,5R,Veteran Challenge Bounty: Matron Avarissa,Matron Avarissa,ROC下,Southern Battleground,103510,23400
ROC下安全区,5,5R,Veteran Challenge Bounty: Zaurn-Grethod,Zaurn-Grethod,ROC下,Southern Battleground,100700,24300
ROC下安全区,10,6R,Veteran Challenge Bounty: G'luulofthok,G'luulofthok,ROC下,Southern Battleground,100750,22800
ROC下安全区,10,6R,Veteran Challenge Bounty: Hzagra-Druun-Sek,Hzagra-Druun-Sek,ROC下,Southern Battleground,100730,25500
ROC下安全区,10,6R,Veteran Challenge Bounty: Raalutgoz-Daruumat,Raalutgoz-Daruumat,ROC下,Southern Battleground,101540,25100
ROC下安全区,10,6R,Veteran Challenge Bounty: Vrellict The Diabolist,Vrellict The Diabolist,ROC下,Southern Battleground,103640,24300
ROC上安全区,10,6R,Veteran Challenge Bounty: Dranneth-varr,Dranneth-varr,ROC下,Southern Battleground,101580,23300
ROC上安全区,10,6R,Veteran Challenge Bounty: Gar'quee the Forlorn,Gar'quee the Forlorn,ROC下,Southern Battleground,103100,23900
ROC下安全区,30,7R,Veteran Challenge Bounty: Banelord Z'laarsu,Banelord Z'laarsu,ROC下,Southern Battleground,102350,23800
海狗,10,6R,Veteran Challenge Bounty: Xarnaag the Shatterer,Xarnaag the Shatterer,大精灵,Aeran Belendor,84942,64600
海狗,10,6R,Veteran Challenge Bounty: Doombringer Naerithyl,Doombringer Naerithyl,大精灵,Aeran Belendor,85094,63000
海狗,5,5R,Veteran Challenge Bounty: Elrogil Anfallon,Elrogil Anfallon,小精灵,Aerath Hellendroth,85507,59400
海狗,5,5R,Veteran Challenge Bounty: Uandir the Butcher,Uandir the Butcher,小精灵,Aerath Hellendroth,86760,57700
海狗,10,6R,Veteran Challenge Bounty: Malion Ingloridan,Malion Ingloridan,小精灵,Aerath Hellendroth,86724,59700
海狗,10,6R,Veteran Challenge Bounty: Sulegnach Spinethirst,Sulegnach Spinethirst,小精灵,Aerath Hellendroth,85357,57500
海狗,30,7R,Veteran Challenge Bounty: Tch'lortklaz The Beckoned,Tch'lortklaz The Beckoned,小精灵,Aerath Hellendroth,0,0
大树,5,5R,Veteran Challenge Bounty: Captain Skarduhl,Captain Skarduhl,地精区（兽人角斗）,Fellgrim Forest,62620,50900
大树,5,5R,Veteran Challenge Bounty: Graufnod,Graufnod,地精区（兽人角斗）,Fellgrim Forest,65363,50800
大树,5,5R,Veteran Challenge Bounty: Yikk,Yikk,地精区（兽人角斗）,Fellgrim Forest,64966,51700
大树,10,6R,Veteran Challenge Bounty: Gund Earthshaker,Gund Earthshaker,地精区（兽人角斗）,Fellgrim Forest,63181,51300
大树,10,6R,Veteran Challenge Bounty: Chief Duruuk,Chief Duruuk,地精区（兽人角斗）,Fellgrim Forest,64062,52500
